year,month,month_conversion,shopee_region,english_product_category,partner_type,conversion_count,usd_sale_amount,usd_revenue,usd_payout,usd_avg_sale_per_conv,myr_avg_sale_per_conv,%_revenue_per_sale,%_payout_per_sale,%_payout_per_revenue
2023,9,2023-09-01,Shopee Vietnam,Stationery,Others,164,416.86,4.55,4.09,3,12,1.09,0.98,89.89
2023,11,2023-11-01,Shopee Philippines,Sports & Outdoors,Sub-Network,5550,33284.87,687.73,551.61,6,28,2.07,1.66,80.21
2023,11,2023-11-01,Shopee Singapore,Home & Living,Others,270,3182.94,190.98,133.65,12,56,6,4.2,69.98
2023,11,2023-11-01,Shopee Thailand,Sports & Outdoors,Comparison,175,3212.33,60.81,42.57,18,86,1.89,1.33,70
2023,9,2023-09-01,Shopee Indonesia,Beauty,Content,20330,75308.13,2689.21,1880.82,4,17,3.57,2.5,69.94
2023,9,2023-09-01,Shopee Indonesia,Pets,Paid Traffic,11141,31611.78,905.09,632.83,3,13,2.86,2,69.92
2023,10,2023-10-01,Shopee Vietnam,Stationery,Others,309,665.29,9.46,8.47,2,10,1.42,1.27,89.53
2023,12,2023-12-01,Shopee Indonesia,Men Shoes,Others,61,282.03,5.65,3.95,5,22,2,1.4,69.91
2023,12,2023-12-01,Shopee Taiwan,Books & Magazines,Rewards,6,56.37,0,0,9,44,0,0,0
2023,10,2023-10-01,Shopee Malaysia,Watches,Sub-Network,631,7114.01,243.49,170.47,11,53,3.42,2.4,70.01
2023,11,2023-11-01,Shopee Vietnam,Women Clothes,Comparison,1597,8004.89,173.47,156.04,5,24,2.17,1.95,89.95
2023,12,2023-12-01,Shopee Taiwan,Men Clothes,Comparison,696,9598.96,94.5,66.16,14,65,0.98,0.69,70.01
2023,9,2023-09-01,Shopee Taiwan,Books & Magazines,Content,375,3297.91,10.14,7.08,9,41,0.31,0.21,69.82
2023,11,2023-11-01,Shopee Philippines,Food & Beverage,Comparison,49,245.97,4.11,3.27,5,24,1.67,1.33,79.56
